AddressID,property_name,plug_load_consumption,ac_consumption,domestic_gas,heating_gas,kmeans_label,pca_1,pca_2,pca_3,pca_3,Address,Zipcode,Long,Lat,Energy,Measured,Energy in KWH,Annual Energy Bill (USD),Predicted,ReClustering
125 East 105th Street10029,ChurchofStCeciliaReport,0.175057303,0.066550426,0.022769714,0.122170927,0,0.059554872,0.07059638,0.059554872,0.07059638,125 East 105th Street,10029,-73.947326,40.7919189,0.143237331,0.309858044,117869.9999," $21,216.60 ",0.183957072,0
69-71 Grand Avenue11378,69thLaneStudio,0.492353249,0.33889035,0.076335571,0.193365997,3,-0.334241327,0.031452504,-0.334241327,0.031452504,69-71 Grand Avenue,11378,-73.893311,40.7274352,0.393899623,0.042605152,16206.99982," $2,917.26 ",0.027382748,1
312 Fillmore St10301,UnitarianChurchofStatenIsland,0.035233345,0.020037828,0.007739094,0.01216417,0,0.197073112,0.159979313,0.197073112,0.159979313,312 Fillmore St,10301,-74.0986983,40.6429808,0.037827197,0.040914826,15563.99981," $2,801.52 ",0.036065563,0
421 Doughty Blvd11096,SSolowayandSonsPIPPrinting,0.069395717,0.051776311,0.006508235,0.07828953,0,0.148448222,0.097597044,0.148448222,0.097597044,421 Doughty Blvd,11096,-73.7469957,40.6226744,0.075394823,0.067957413,25850.99991," $4,653.18 ",0.053783,0
40-20 47th Avenue11104,SunnysideJewishCenterReport,0.140087482,0.083520406,0.076335571,0.193365997,0,0.034551871,0.007363874,0.034551871,0.007363874,40-20 47th Avenue,11104,-73.923901,40.741461,0.112403285,0.085023659,32342.99988," $5,821.74 ",0.059362888,0
361 6th Ave10014,MoonbluIncdbaJoyBurgerBar,0.678718933,0.570929661,0.902416515,0.224655303,1,-1.003385858,0.179965392,-1.003385858,0.179965392,361 6th Ave,10014,-74.000832,40.732327,0.7088324,0.281119874,106938.0001," $19,248.84 ",0.189959381,1
2075 East 68th Street11234,TempleSholom,0.106806574,0.126068115,0.006899177,0.18707008,0,0.066075651,-0.00856183,0.066075651,-0.00856183,2075 East 68th Street,11234,-73.9096263,40.6188665,0.126878588,0.601958465,228985.0001," $41,217.30 ",0.45764432,0
2075 East 68th Street11234,TempleSholom_(1),0.106806574,0.126068115,0.006899177,0.18707008,0,0.066075651,-0.00856183,0.066075651,-0.00856183,2075 East 68th Street,11234,-73.9096263,40.6188665,0.126878588,0.601958465,228985.0001," $41,217.30 ",0.45764432,0
1625 Ocean Avenue11230,EastMidwoodJewishCenter,0.084974331,0.024104233,0.017709358,0.451236147,2,0.096251088,-0.256488421,0.096251088,-0.256488421,1625 Ocean Avenue,11230,-73.9553737,40.6223507,0.085341709,1,380400," $68,472.00 ",0.980672398,1
84 Rogers Avenue11553,UnitedChurchofGod,0.141500495,0.119669114,0.084665636,0.070158667,0,0.025922329,0.125596194,0.025922329,0.125596194,84 Rogers Avenue,11553,-73.953147,40.67385,0.021748481,0.011855941,4509.999956, $811.80 ,0.038916703,0
584 Bloomindale Road10309,RossvilleAMEZionChurch,0.040531051,0.012134444,0.010077618,0.21320202,0,0.168624227,-0.03259595,0.168624227,-0.03259595,584 Bloomindale Road,10309,-74.218268,40.539434,0.041145883,0.02818612,10722.00005," $1,929.96 ",0.045581555,0
203 Nostrand Ave11205,PentecostalHouseofPrayer,0.053311925,0.056707736,0.076335571,0.193365997,0,0.104325196,-0.001358987,0.104325196,-0.001358987,203 Nostrand Ave,11205,-73.951669,40.69221,0.140010555,0.11500617,43748.34707," $7,874.70 ",0.031674582,0
51-53 Van Duzer Street10301,BethelCommunityChurch,0.061367762,0.069532374,0.011551042,0.212321634,0,0.121505876,-0.033278532,0.121505876,-0.033278532,51-53 Van Duzer Street,10301,-74.077492,40.6369886,0.0296733,0.016732387,6365.000015," $1,145.70 ",0.028191164,0
595 Quincy Street11221,RefugeChurchofGod,0.068117636,0.06108502,0.007769273,0.240092908,0,0.12016944,-0.059425943,0.12016944,-0.059425943,595 Quincy Street,11221,-73.9353011,40.6889701,0.038707779,0.039773922,15129.99993," $2,723.40 ",0.044262925,0
20 Simmons Street11726,BethelAMEChurch,0.053254192,0.014681568,0.00419461,0.002510882,0,0.192106276,0.171221968,0.192106276,0.171221968,20 Simmons Street,11726,-73.405297,40.69052,0.049747965,0.134521556,51171.9999," $9,210.96 ",0.141739914,0
24 Simmons Street11726,BethelAMEChurchHouse,0.083284252,0.185487737,0.076335571,0.193365997,0,0.010444218,-0.007581308,0.010444218,-0.007581308,24 Simmons Street,11726,-73.4050481,40.6910751,0.009220353,0.00581756,2212.999824, $398.34 ,0.078278421,0
109-14 Farmers Blvd11412,GospelAssembly,0.138257442,0.094656771,0.024002806,0.207428922,0,0.05335441,-0.018310089,0.05335441,-0.018310089,109-14 Farmers Blvd,11412,-73.766955,40.7035539,0.143061678,0.056737645,21583.00016," $3,884.94 ",0.012268815,0
15-43 149th Street11357,FirstPresbyterianChurchofWhitestone,0.04775817,0.03260554,0.015703671,0.01905093,0,0.17696299,0.155581914,0.17696299,0.155581914,15-43 149th Street,11357,-73.8159779,40.7859159,0.034463499,0.037413249,14231.99992," $2,561.76 ",0.076695322,0
163 East 111th10029,FirstSpanishMethodistChurch,0.028737942,0.011844349,0.041883796,0.052097976,0,0.1831585,0.128373377,0.1831585,0.128373377,163 East 111th,10029,-73.9435705,40.7954688,0.026579926,0.049353312,18773.99988," $3,379.32 ",0.095406844,0
145-01 Farmers Blvd11434,SpringfieldGardensChurchoftheNazarene_-_Church,0.06288432,0.117634736,0.018897876,0.007050149,0,0.117994743,0.163165003,0.117994743,0.163165003,145-01 Farmers Blvd,11434,-73.7670999,40.6661182,0.084783807,0.033288644,12663.00018," $2,279.34 ",-0.010665246,0
145-07 Farmers Blvd11434,SpringfieldGardensChurchoftheNazarene_-_Parsonage,0.126857326,0.09287995,0.060230396,0.009879803,0,0.071484147,0.17898181,0.071484147,0.17898181,145-07 Farmers Blvd,11434,-73.7671221,40.666011,0.141475569,0.033257098,12651.00008," $2,277.18 ",0.064417915,0
154 Sterling Street11225,GraceandMercyChristianNationalChurch,0.103223694,0.070936862,0.076335571,0.193365997,0,0.064889373,0.003750436,0.064889373,0.003750436,154 Sterling Street,11225,-73.955813,40.662573,0.102992742,0.020423239,7769.000116," $1,398.42 ",0.019912119,0
111-17 Sutphin Blvd.11435,ChurchofGodMissionInternational,0.011096794,0.014134568,0.006137437,0.083699033,0,0.206200359,0.087946314,0.206200359,0.087946314,111-17 Sutphin Blvd.,11435,-73.7952443,40.6881634,0.013600597,0.008264984,3143.999914, $565.92 ,0.026982454,0
90-12 160th Street11432,BethanyFrenchBaptistChurch,0.106647369,0.14218736,0.000409341,0.375584153,2,0.033199074,-0.19342011,0.033199074,-0.19342011,90-12 160th Street,11432,-73.7998407,40.7048201,0.124954429,0.108123028,41129.99985," $7,403.40 ",0.05506917,1
19-20 Mott Avenue Suite 411691,RockawayYouthTaskForce,0.156025186,0.07990648,0.076335571,0.193365997,0,0.026722106,0.009625734,0.026722106,0.009625734,19-20 Mott Avenue Suite 4,11691,-73.7542593,40.604673,0.086481954,0.031180336,11860.99981," $2,134.98 ",0.011983587,0
316 Saratoga Avenue11233,ReshapingLivesMinistries,0.057720179,0.04709673,0.076335571,0.193365997,0,0.107187326,-6.80E-05,0.107187326,-6.80E-05,316 Saratoga Avenue,11233,-73.9169372,40.6747591,0.041670393,0.039813354,15144.99986," $2,726.10 ",0.040075928,0
2135-37 Third Ave10035,ChurchofGodofThirdAvenue,0.049738388,0.043689478,0.031761181,0.239152326,0,0.129927609,-0.054419777,0.129927609,-0.054419777,2135-37 Third Ave,10035,-73.9394039,40.7983018,0.05495212,0.101133018,38471.00005," $6,924.78 ",0.178846776,0
215-31 99th Street11429,FirstRevelationChurch,0.084994665,0.086485278,0.014934024,0.317264038,0,0.080257228,-0.132382901,0.080257228,-0.132382901,215-31 99th Street,11429,-73.742982,40.714861,0.093814558,0.091324921,34739.99995," $6,253.20 ",0.082602161,0
40 Washington St.11550,UnitedMethodistChurchofHempstead-Church,0.026471265,0.043339991,0.027542913,0.146486126,0,0.15992971,0.031403996,0.15992971,0.031403996,40 Washington St.,11550,-73.6203357,40.7077325,0.007771879,0.025039432,9524.999933," $1,714.50 ",0.216152674,0
112 Long Drive11550,UnitedMethodistChurchofHempstead-Parsonage,0.094338142,0.211619186,0.076335571,0.193365997,0,-0.011706561,-0.008225403,-0.011706561,-0.008225403,112 Long Drive,11550,-73.636596,40.701459,0.049090528,0.02079653,7911.000012," $1,423.98 ",0.028834576,0
40 Washington St.11550,UnitedMethodistChurchofHempstead-ParishHall,0.078021195,0.044549643,0.022829236,0.121453334,0,0.132990193,0.060931491,0.132990193,0.060931491,40 Washington St.,11550,-73.6203357,40.7077325,0.007771879,0.183215037,69695.00007," $12,545.10 ",0.293346834,0
422 Dean Street11217,Immanual-FirstSpanishUMC-Parsonage,0.029678638,0.009405147,0.076335571,0.193365997,0,0.146682074,-0.000643849,0.146682074,-0.000643849,422 Dean Street,11217,-73.9773017,40.6822255,0.028375258,0.012276551,4670, $840.60 ,0.046691668,0
424 Dean Street11217,Immanuel-FirstSpanishUMC-Church,0.010258116,0.005815633,0.076335571,0.193365997,0,0.160889679,-0.002782355,0.160889679,-0.002782355,424 Dean Street,11217,-73.9772095,40.6821432,0.010530239,0.017084648,6499.000099," $1,169.82 ",0.149896734,0
590 New Lots Ave11207,PilgrimCathedralofEastNewYork,0.02335858,0.003491084,0.014293037,0.21750887,0,0.181660562,-0.037342189,0.181660562,-0.037342189,590 New Lots Ave,11207,-73.8869517,40.6642448,0.022771094,0.029555731,11243.00007," $2,023.74 ",0.113020703,0
1746 Broadway11207,WaysideBaptistChurch,0.208855227,0.116747791,0.020178905,0.629740645,2,-0.061719174,-0.420271752,-0.061719174,-0.420271752,1746 Broadway,11207,-73.9107046,40.6828091,0.186082488,0.349474238,132940.0001," $23,929.20 ",0.180872789,1
1726 Broadway11207,WaysideBaptistChurch-ManorBuilding,0.067606076,0.039023169,0.009346627,0.007036102,0,0.165724432,0.167834168,0.165724432,0.167834168,1726 Broadway,11207,-73.9111129,40.6832655,0.051123075,0.208622503,79360.00014," $14,284.80 ",0.217401446,0
211 South 4th Street11211,ElPuente,0.095956295,0.035000281,0.013827059,0.401279743,2,0.092085727,-0.208488563,0.092085727,-0.208488563,211 South 4th Street,11211,-73.9596247,40.7109366,0.078840773,0.1179653,44874.00012," $8,077.32 ",0.238098181,1
171 W. 140th St.10030,NewMtZionBaptistChurch,0.193115849,0.154275395,0.005029637,0.12536487,0,0.005488818,0.059250833,0.005488818,0.059250833,171 W. 140th St.,10030,-73.9406397,40.8184082,0.213024967,0.131335436,49959.99985," $8,992.80 ",0.031012666,0
166a 22nd Street11212,UPROSE,0.100204857,0.188940596,0.04397547,0.565721688,2,-0.038900262,-0.372482976,-0.038900262,-0.372482976,166a 22nd Street,11212,-73.9967348,40.6623401,0.133493047,0.067381703,25631.99982," $4,613.76 ",0.065448527,1
165 Humboldt St.11206,InglesiaPentecostalRosadeSaron,0.049124224,0.006570526,0.076335571,0.193365997,0,0.136209574,0.001994166,0.136209574,0.001994166,165 Humboldt St.,11206,-73.941727,40.707105,0.045852353,0.017697161,6732.000044," $1,211.76 ",0.027089442,0
7033 Amboy Road10307,BethelUnitedMethodistChurch,0.050819642,0.017809709,0.019151929,0.006322685,0,0.183778431,0.17013422,0.183778431,0.17013422,7033 Amboy Road,10307,-74.2347349,40.5155411,0.051485491,0.035770242,13607.00006," $2,449.26 ",0.000926707,0
102 Manhattan Ave11206,ElLiriodelosValles,0.148009781,0.072794961,0.023059663,0.188023201,0,0.063267535,0.003153065,0.063267535,0.003153065,102 Manhattan Ave,11206,-73.944397,40.705923,0.027765221,0.015015773,5712.000049," $1,028.16 ",0.049276375,0
86-06 108th St11418,TrinityUMCEastRichmondHill,0.080831417,0.068106918,0.076335571,0.193365997,0,0.080506877,0.001183559,0.080506877,0.001183559,86-06 108th St,11418,-73.8405633,40.6976682,0.081854289,0.022429022,8531.999969," $1,535.76 ",0.029317504,0
86-06 108th St11418,TrinityUMCEastRichmondHill-Parsonage,0.004195454,0.003883969,0.076335571,0.193365997,0,0.165798542,-0.003387276,0.165798542,-0.003387276,86-06 108th St,11418,-73.8405633,40.6976682,0.081854289,0.001671924,635.9998896, $114.48 ,0.039249591,0
61 Rivington St.10002,TheLambsChurchoftheNazarene,0.0347443,0.05350733,0.044623453,0.157373367,0,0.1387464,0.024710704,0.1387464,0.024710704,61 Rivington St.,10002,-73.9903129,40.7204745,0.043761211,0.076750789,29196.00014," $5,255.28 ",0.132275453,0
399 Rockaway Ave11212,HisMajestyInternationalFellowship,0.145170505,0.064874833,0.02477571,0.072848032,0,0.085183945,0.115108026,0.085183945,0.115108026,399 Rockaway Ave,11212,-73.910594,40.670333,0.092395188,0.041640379,15840.00017," $2,851.20 ",0.031185957,0
2849 W 17th St11224,ChristianMissionofStJohn316,0.14080254,0.122103776,0.004078445,0.25728123,0,0.038613458,-0.072489564,0.038613458,-0.072489564,2849 W 17th St,11224,-73.984654,40.577725,0.086072466,0.038480547,14638.00008," $2,634.84 ",0.03154553,0
1424 Fulton Street11216,ElgantoLLC,0.029660242,0.013728721,0.030101849,0.158735947,0,0.172208043,0.022784752,0.172208043,0.022784752,1424 Fulton Street,11216,-73.9437344,40.679904,0.031058857,0.016125131,6133.999832," $1,104.12 ",0.050085582,0
2672 Broadway10025,"4-1_Vision_Education_Media,_LLC_-_NYSERDA_Energy_Assessment_Report",0.148009781,0.072794961,0.076335571,0.193365997,0,0.035873087,0.009178142,0.035873087,0.009178142,2672 Broadway,10025,-73.9687981,40.7982465,0.171351075,0.038611987,14687.99985," $2,643.84 ",0.102102964,0
59 Wright Street10304,NYSERDA_Energy_Assessment_Report_-_Central_Family_Life_Center,0.074910183,0.09565366,0.030938652,0.187531812,0,0.091641864,-0.005576771,0.091641864,-0.005576771,59 Wright Street,10304,-74.0783546,40.6274602,0.069753311,0.150893796,57400," $10,332.00 ",0.140045349,0
547 Nostrand Ave11216,FlowerWorksdbaJaricanFlorist,0.068892031,0.031591017,0.05369348,0.230933418,0,0.11524994,-0.038550802,0.11524994,-0.038550802,547 Nostrand Ave,11216,-73.949474,40.6787873,0.07218374,0.025764984,9800.999914," $1,764.18 ",0.015501963,0
